symbol,security,sec_filings,gics_sector,sub_industry,headquarters,date_added,cik,founded,
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",2/01/1997,866787,1979,
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia",10/01/2007,915912,1978,
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",31/12/1987,8818,1990,
BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/07/2017,1701605,2017,
BALL,Ball Corporation,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/1984,9389,1880,
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858,1998 (1923 / 1874),
BBWI,"Bath & Body Works, Inc.",reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",30/09/1983,701985,1963,
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",30/09/1972,10456,1931,
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30/09/1972,10795,1897,
WRB,Berkley,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",5/12/2019,11544,1967,
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/02/2010,1067983,1839,
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/06/1999,764478,1966,
BIO,Bio-Rad,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",22/06/2020,12208,1952,
TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",30/08/2021,842023,1976,
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",13/11/2003,875045,1978,
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",4/04/2011,1364742,1988,
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",31/03/1995,1390777,1784,
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",4/03/1957,12927,1916,
BKNG,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",6/11/2009,1075531,1996,
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,908255,1880,
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",3/04/2006,1037540,1970,
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",24/02/1995,885725,1979,
BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",4/03/1957,14272,1989,
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",8/05/2014,1730168,1961,
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",18/06/2018,1383312,1962,
BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",20/09/2021,79282,1939,
BF.B,Brown–Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",31/10/1982,14693,1870,
CHRW,C.H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2/03/2007,1043277,1905,
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",18/09/2017,813672,1988,
CZR,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",22/03/2021,1590895,1973,
CPT,Camden Property Trust,reports,Real Estate,Residential REITs,"Houston, Texas",4/04/2022,906345,1981,
CPB,Campbell Soup Company,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",4/03/1957,16732,1869,
COF,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1/07/1998,927628,1994,
CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",27/05/1997,721371,1971,
KMX,CarMax,reports,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",28/06/2010,1170010,1993,
CCL,Carnival,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/1998,815097,1972,
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",3/04/2020,1783180,2020 (1915),
CTLT,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",21/09/2020,1596783,2007,
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Irving, Texas",4/03/1957,18230,1925,
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",1/03/2017,1374310,1973,
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Dallas, Texas",10/11/2006,1138118,1906,
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",23/09/2019,1402057,1984,
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",24/12/2018,1306830,1918,
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St. Louis, Missouri",30/03/2016,1071739,1984,
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",31/07/1985,1130310,1882,
CDAY,Ceridian,reports,Information Technology,Application Software,"Minneapolis, Minnesota",20/09/2021,1725057,1992,
CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",27/08/2008,1324404,1946,
CRL,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",14/05/2021,1100682,1947,
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",2/06/1997,316709,1971,
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",8/09/2016,1091667,1993,
CVX,Chevron Corporation,reports,Energy,Integrated Oil & Gas,"San Ramon, California",4/03/1957,93410,1879,
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",28/04/2011,1058090,1993,
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,896159,1985,
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927,1847,
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",30/06/1976,1739940,1982,
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,20286,1950,
CTAS,Cintas,reports,Industrials,Diversified Support Services,"Mason, Ohio",1/03/2001,723254,1929,
CSCO,Cisco,reports,Information Technology,Communications Equipment,"San Jose, California",1/12/1993,858877,1984,
C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",31/05/1988,831001,1998,
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,759944,1828,
CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",31/03/1969,21076,1913,
CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",11/08/2006,1156375,1848,
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",3/05/1999,811156,1886,
KO,The Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",4/03/1957,21344,1886,
CTSH,Cognizant,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290,1994,
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",4/03/1957,21665,1806,
CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",19/11/2002,1166691,1963,
CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",1/12/1995,28412,1849,
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/08/1983,23217,1919,
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",4/03/1957,1163165,2002,
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York City, New York",,1047862,1823,
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",1/07/2005,16918,1945,
CEG,Constellation Energy,reports,Utilities,Multi-Utilities,"Baltimore, Maryland",2/02/2022,1868275,1999,
COO,CooperCompanies,reports,Health Care,Health Care Supplies,"San Ramon, California",23/09/2016,711404,1958,
CPRT,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",2/07/2018,900075,1982,
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851,
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",3/06/2019,1755672,2019,
CSGP,CoStar Group,reports,Industrials,Research & Consulting Services,"Washington, D.C.",19/09/2022,1057352,1987,
COST,Costco,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1/10/1993,909832,1976,
CTRA,Coterra,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",23/06/2008,858470,2021 (1989),
CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",14/03/2012,1051470,1994,
CSX,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",30/09/1967,277948,1980,
CMI,Cummins,reports,Industrials,Industrial Machinery,"Columbus, Indiana",31/03/1965,26172,1919,
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",4/03/1957,64803,1996,
DHI,D.R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",22/06/2005,882184,1978,
DHR,Danaher Corporation,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",31/07/2008,927066,1979,
DE,John Deere,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",4/03/1957,315189,1837,
DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",11/09/2013,27904,1929,
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",14/11/2008,818479,2016 (1969),
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30/08/2000,1090012,1971,
DXCM,Dexcom,reports,Health Care,Health Care Equipment,"San Diego, California",12/05/2020,1093557,1999,
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",3/12/2018,1539838,2007,
DLR,Digital Realty,reports,Real Estate,Specialized REITs,"Austin, Texas",18/05/2016,1297996,2004,
DFS,Discover Financial,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2/07/2007,1393612,1985,
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",13/03/2017,1001082,1980,
DIS,Disney,reports,Communication Services,Movies & Entertainment,"Burbank, California",30/06/1976,1744489,1923,
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",3/12/2012,29534,1939,
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",19/12/2011,935703,1986,
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,
DPZ,Domino's,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",12/05/2020,1286681,1960,
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31/10/1985,29905,1955,
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",1/04/2019,1751788,2019,
DTE,DTE Energy,reports,Utilities,Multi-Utilities,"Detroit, Michigan",4/03/1957,936340,1995,
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",30/06/1976,1326160,1904,
DD,DuPont,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",2/04/2019,1666700,2017,
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/04/2017,1688568,2017,
EMN,Eastman Chemical Company,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/01/1994,915389,1920,
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,
EBAY,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",22/07/2002,1065088,1995,
ECL,Ecolab,reports,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31/01/1989,31462,1923,
EIX,Edison International,reports,Utilities,Electric Utilities,"Rosemead, California",4/03/1957,827052,1886,
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",1/04/2011,1099800,1958,
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/07/2002,712515,1982,
ELV,Elevance Health,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",25/07/2002,1156039,2014 (1946),
LLY,Eli Lilly and Company,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/1970,59478,1876,
EMR,Emerson Electric,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31/03/1965,32604,1890,
ENPH,Enphase,reports,Information Technology,Electronic Components,"Fremont, California",7/01/2021,1463101,2006,
ETR,Entergy,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",4/03/1957,65984,1913,
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2/11/2000,821189,1999,
EPAM,EPAM Systems,reports,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",14/12/2021,1352010,1993,
EQT,EQT,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",3/10/2022,33213,1888,
EFX,Equifax,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",19/06/1997,33185,1899,
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",20/03/2015,1101239,1998,
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",3/12/2001,906107,1969,
ESS,Essex Property Trust,reports,Real Estate,Residential REITs,"San Mateo, California",2/04/2014,920522,1971,
EL,The Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York City, New York",5/01/2006,1001250,1946,
ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",21/09/2020,1370637,2005,
RE,Everest Re,reports,Financials,Reinsurance,"Hamilton, Bermuda",19/06/2017,1095073,1973,
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",5/06/2018,1711269,1909,
ES,Eversource,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,72741,1966,
EXC,Exelon,reports,Utilities,Multi-Utilities,"Chicago, Illinois",4/03/1957,1109357,2000,
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2/10/2007,1324424,1996,
EXPD,Expeditors International,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,1979,
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",19/01/2016,1289490,1977,
XOM,ExxonMobil,reports,Energy,Integrated Oil & Gas,"Irving, Texas",4/03/1957,34088,1999,
FFIV,"F5, Inc.",reports,Information Technology,Communications Equipment,"Seattle, Washington",20/12/2010,1048695,1996,
FDS,FactSet,reports,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",20/12/2021,1013237,1978,
FAST,Fastenal,reports,Industrials,Building Products,"Winona, Minnesota",15/09/2008,815556,1967,
FRT,Federal Realty,reports,Real Estate,Retail REITs,"Rockville, Maryland",1/02/2016,34903,1962,
FDX,FedEx,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",31/12/1980,1048911,1971,
FITB,Fifth Third Bank,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858,
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",2/01/2019,1132979,1985,
FE,FirstEnergy,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997,
FIS,FIS,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",10/11/2006,1136893,1968,
FISV,Fiserv,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2/04/2001,798354,1984,
FLT,Fleetcor,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",20/06/2018,1175454,2000,
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",19/08/2009,37785,1883,
F,Ford Motor Company,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",4/03/1957,37996,1903,
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",11/10/2018,1262039,2000,
FTV,Fortive,reports,Industrials,Industrial Machinery,"Everett, Washington",1/07/2016,1659166,2016,
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",22/06/2016,1519751,2011 (1969),
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York City, New York",1/07/2013,1754301,2019,
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York City, New York",18/09/2015,1754301,2019,
BEN,Franklin Templeton,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947,
FCX,Freeport-McMoRan,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912,
GRMN,Garmin,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,1989,
IT,Gartner,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",5/04/2017,749251,1979,
GNRC,Generac,reports,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",22/03/2021,1474735,1959,
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",4/03/1957,40533,1899,
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",31/03/1969,40704,1856,
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/06/2013,1467858,1908,
GPC,Genuine Parts Company,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",31/12/1973,40987,1925,
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",1/07/2004,882095,1987,
GL,Globe Life,reports,Financials,Life & Health Insurance,"McKinney, Texas",30/04/1989,320335,1900,
GPN,Global Payments,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",25/04/2016,1123360,2000,
GS,Goldman Sachs,reports,Financials,Investment Banking & Brokerage,"New York City, New York",22/07/2002,886982,1869,
HAL,Halliburton,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",4/03/1957,45012,1919,
HIG,Hartford (The),reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",4/03/1957,874766,1810,
HAS,Hasbro,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30/09/1984,46080,1923,
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",27/01/2015,860730,1968,
PEAK,Healthpeak,reports,Real Estate,Health Care REITs,"Long Beach, California",31/03/2008,765880,1985,
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",17/03/2015,1000228,1932,
HSY,Hershey's,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",4/03/1957,47111,1894,
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York City, New York",31/05/1984,4447,1919,
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2/11/2015,1645590,2015,
HLT,Hilton Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/06/2017,1585689,1919,
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/03/2016,859737,1985,
HD,The Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/03/1988,354950,1978,
HON,Honeywell,reports,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",31/03/1964,773840,1906,
HRL,Hormel Foods,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",4/03/2009,48465,1891,
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20/03/2007,1070750,1993,
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",31/03/1964,4281,2016,
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31/12/1974,47217,1939 (2015),
HUM,Humana,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,49196,1866,
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",3/01/2018,1501585,2011,
IBM,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",4/03/1957,51143,1911,
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",9/08/2019,832101,1988,
IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",5/01/2017,874716,1983,
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",28/02/1986,49826,1912,
ILMN,Illumina,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",19/11/2015,1110803,1998,
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",28/02/2017,879169,1991,
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Davidson, North Carolina",3/03/2020,1699150,1859,
INTC,Intel,reports,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,50863,1968,
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",26/09/2007,1571949,2000,
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",4/03/1957,51434,1898,
IPG,The Interpublic Group of Companies,reports,Communication Services,Advertising,"New York City, New York",1/10/1992,51644,1961 (1930),
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York City, New York",31/03/1976,51253,1958 (1889),
INTU,Intuit,reports,Information Technology,Application Software,"Mountain View, California",5/12/2000,896878,1983,
ISRG,Intuitive Surgical,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2/06/2008,1035267,1995,
IVZ,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21/08/2008,914208,1935,
INVH,Invitation Homes,reports,Real Estate,Residential REITs,"Dallas, Texas",19/09/2022,1687229,2012,
IQV,IQVIA,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/08/2017,1478242,1982,
IRM,Iron Mountain,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",6/01/2009,1020569,1951,
JBHT,J.B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",1/07/2015,728535,1961,
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",13/11/2018,779152,1976,
J,Jacobs Solutions,reports,Industrials,Construction & Engineering,"Dallas, Texas",26/10/2007,52988,1947,
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30/06/1973,200406,1886,
JCI,Johnson Controls,reports,Industrials,Building Products,"Cork, Ireland",27/08/2010,833444,1885,
JPM,JPMorgan Chase,reports,Financials,Diversified Banks,"New York City, New York",30/06/1975,19617,2000 (1799 / 1871),
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",2/06/2006,1043604,1996,
K,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",11/09/1989,55067,1906,
KDP,Keurig Dr Pepper,reports,Consumer Staples,Soft Drinks,"Burlington, Massachusetts",21/06/2022,1418135,1981,
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",1/03/1994,91576,1825,
KEYS,Keysight,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",6/11/2018,1601046,2014,
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",4/03/1957,55785,1872,
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",4/04/2006,879101,1958,
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/05/2012,1506307,1997,
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997),
KHC,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",6/07/2015,1637459,2015 (1869),
KR,Kroger,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",4/03/1957,56873,1883,
LHX,L3Harris,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",22/09/2008,202058,2019 (1895),
LH,LabCorp,reports,Health Care,Health Care Services,"Burlington, North Carolina",1/11/2004,920148,1978,
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",29/06/2012,707549,1980,
LW,Lamb Weston,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",3/12/2018,1679273,2016 (1950),
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",3/10/2019,1300514,1988,
LDOS,Leidos,reports,Industrials,Diversified Support Services,"Reston, Virginia",9/08/2019,1336920,1969,
LEN,Lennar,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",4/10/2005,920760,1954,
LNC,Lincoln Financial,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",30/06/1976,59558,1905,
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, United Kingdom",1/07/1992,1707925,1879,
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/2019,1335258,2010,
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",23/05/2016,1065696,1998,
LMT,Lockheed Martin,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",31/07/1984,936468,1995,
L,Loews Corporation,reports,Financials,Multi-line Insurance,"New York City, New York",,60086,1959,
LOW,Lowe's,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29/02/1984,60667,1904/1946/1959,
LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/03/1999,18926,1983 (1877),
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",5/09/2012,1489393,2007,
MTB,M&T Bank,reports,Financials,Regional Banks,"Buffalo, New York",23/02/2004,36270,1856,
MRO,Marathon Oil,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1/05/1991,101778,1887,
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1/07/2011,1510295,2009 (1887),
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York City, New York",1/07/2019,1278021,2000,
MAR,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,
MMC,Marsh McLennan,reports,Financials,Insurance Brokers,"New York City, New York",31/08/1987,62709,1905,
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2/07/2014,916076,1993,
MAS,Masco,reports,Industrials,Building Products,"Livonia, Michigan",30/06/1981,62996,1929,
MA,Mastercard,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",18/07/2008,1141391,1966,
